Date,Open,High,Low,Close*,Adj Close**,Volume
"Mar 08, 2020","1,696.10","1,701.60","1,513.80","1,515.70","1,515.70",601
"Mar 02, 2020","1,583.90","1,686.20","1,574.30","1,670.80","1,670.80","1,559"
"Feb 24, 2020","1,657.00","1,686.60","1,564.10","1,564.10","1,564.10","3,830"
"Feb 17, 2020","1,579.80","1,645.00","1,579.80","1,644.60","1,644.60","1,155"
"Feb 10, 2020","1,569.30","1,582.70","1,561.00","1,582.70","1,582.70",746
"Feb 03, 2020","1,592.90","1,593.30","1,547.70","1,568.60","1,568.60","3,886"
"Jan 27, 2020","1,584.30","1,589.00","1,569.20","1,582.90","1,582.90","314,730"
"Jan 20, 2020","1,559.30","1,571.10","1,549.80","1,571.10","1,571.10",145
"Jan 13, 2020","1,557.40","1,558.80","1,534.90","1,558.80","1,558.80",297
"Jan 06, 2020","1,580.00","1,604.20","1,543.30","1,557.50","1,557.50",769
"Dec 30, 2019","1,512.60","1,552.70","1,510.00","1,549.20","1,549.20","1,068"
"Dec 23, 2019","1,482.30","1,513.80","1,479.90","1,513.80","1,513.80","1,408"
"Dec 16, 2019","1,473.80","1,478.90","1,472.60","1,474.70","1,474.70","1,196"
"Dec 09, 2019","1,458.80","1,483.90","1,458.60","1,475.60","1,475.60","3,644"
"Dec 02, 2019","1,462.80","1,483.40","1,453.30","1,459.10","1,459.10","6,051"
"Nov 25, 2019","1,457.10","1,465.60","1,452.00","1,465.60","1,465.60","441,760"
"Nov 18, 2019","1,472.00","1,474.50","1,463.10","1,463.10","1,463.10",225
"Nov 11, 2019","1,461.00","1,471.80","1,447.10","1,467.30","1,467.30",180
"Nov 04, 2019","1,511.60","1,511.60","1,461.30","1,461.30","1,461.30","1,301"
"Oct 27, 2019","1,504.10","1,513.10","1,481.00","1,508.00","1,508.00","1,227"
"Oct 20, 2019","1,489.90","1,514.30","1,481.50","1,499.50","1,499.50",446
"Oct 13, 2019","1,484.40","1,495.40","1,476.60","1,488.20","1,488.20","1,503"
"Oct 06, 2019","1,504.80","1,511.20","1,476.90","1,482.70","1,482.70",422
"Sep 29, 2019","1,495.90","1,518.20","1,458.30","1,506.20","1,506.20","2,948"
"Sep 22, 2019","1,515.50","1,533.00","1,485.60","1,499.10","1,499.10","16,060"
"Sep 15, 2019","1,506.60","1,509.40","1,489.30","1,507.30","1,507.30",44
"Sep 08, 2019","1,509.00","1,515.40","1,486.90","1,490.90","1,490.90",128
"Sep 01, 2019","1,522.90","1,553.20","1,504.50","1,506.20","1,506.20",364
"Aug 25, 2019","1,543.20","1,549.30","1,516.70","1,519.10","1,519.10","4,236"
"Aug 18, 2019","1,507.20","1,527.60","1,492.90","1,526.60","1,526.60","2,710"
"Aug 11, 2019","1,496.00","1,531.40","1,483.70","1,512.50","1,512.50","3,159"
"Aug 04, 2019","1,440.40","1,509.90","1,440.40","1,496.60","1,496.60","2,733"
"Jul 28, 2019","1,419.60","1,448.00","1,400.90","1,445.60","1,445.60","305,739"
"Jul 21, 2019","1,425.30","1,425.30","1,413.90","1,418.50","1,418.50",35
